nu,[0]Ethylenediamine-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
674.033638,0.9436867505024037
674.15324,0.943017913726952
674.272842,0.9456318032663408
674.392444,0.9444523908822703
674.512046,0.9434291591823315
674.631648,0.9447376585775706
674.75125,0.9453226322188939
674.870852,0.9440104905760747
674.990454,0.9456034347377729
675.110056,0.9419962361577585
675.229658,0.9468297312576957
675.34926,0.9448425302779444
675.468862,0.9472265360398892
675.588464,0.9453405935195378
675.708066,0.9445562863594139
675.827668,0.943662214965854
675.94727,0.9432706763965156
676.066872,0.9396808336919154
676.186474,0.944778283170312
676.306076,0.9430348882021689
676.425678,0.9451836800051956
676.54528,0.9437726299041529
676.664882,0.9406510848757845
676.784484,0.9425286144138826
676.904086,0.9445430626639709
677.023688,0.9402937053699383
677.14329,0.9449322945820577
677.262892,0.9414180279968283
677.382494,0.9410180103447018
677.502096,0.9444061138489137
677.621698,0.9413681341635427
677.7413,0.9421667529078034
677.860902,0.9423919576726458
677.980504,0.9433782153832306
678.100106,0.9438840016452851
678.219708,0.9435829506689439
678.33931,0.9429575625117329
678.458912,0.9431075046842592
678.578514,0.9438198197153835
678.698116,0.9421884229923253
678.817718,0.9441549352308671
678.93732,0.9394938558109268
679.056922,0.9374404904552921
679.176524,0.9394985532919495
679.296126,0.9415074669577713
679.415728,0.9378971351581038
679.53533,0.9451562700759214
679.654932,0.9429462470888755
679.774534,0.9418615403269693
679.894136,0.9363143639233965
680.013738,0.938150401574024
680.13334,0.9396864717938318
680.252942,0.9389415958040638
680.372544,0.9393294587713205
680.492146,0.9381550923377587
680.611748,0.9376045568965167
680.73135,0.9414265007972077
680.850952,0.9393792445519469
680.970554,0.9386242871728615
681.090156,0.937515488694418
681.209758,0.9374704890309613
681.32936,0.9384506577409523
681.448962,0.9366440045928517
681.568564,0.9369147338286693
681.688166,0.9375792419152342
681.807768,0.9364782332752332
681.92737,0.9388730555693191
682.046972,0.9357630371447209
682.166574,0.9376748798753626
682.286176,0.9353252025046342
682.405778,0.9368931850376033
682.52538,0.9368706998709855
682.644982,0.9359286818614204
682.764584,0.9357723948218806
682.884186,0.9360157272763826
683.003788,0.9363115549845181
683.12339,0.935421545962095
683.242992,0.936066273490391
683.362594,0.9358247995433091
683.482196,0.935419675120874
683.601798,0.9366758510303942
683.7214,0.9331950902936088
683.841002,0.9362319718846741
683.960604,0.9362216733896251
684.080206,0.9329636866064591
684.199808,0.9336608708462482
684.31941,0.9335226992623123
684.439012,0.9315475905637355
684.558614,0.9355347388171861
684.678216,0.9343454951487319
684.797818,0.9346015408910674
684.91742,0.9344548199670415
685.037022,0.9304369169367418
685.156624,0.9300034343427381
685.276226,0.9298583651226741
685.395828,0.9355104152301849
685.51543,0.93037085826075
685.635032,0.9345604193279493
685.754634,0.933458288418263
685.874236,0.9321104152643849
685.993838,0.9287116275826917
686.11344,0.9313892409334396
686.233042,0.9299122984719032
686.352644,0.9317432360998161
686.472246,0.9310688981366785
686.591848,0.9304136563045775
686.71145,0.9314032118768354
686.831052,0.9300034343427381
686.950654,0.9300796977511113
687.070256,0.9281332204312434
687.189858,0.9275254922245761
687.30946,0.9296872869231685
687.429062,0.9295218173133284
687.548664,0.929091548326869
687.668266,0.9274503657023712
687.787868,0.9286949109238456
687.90747,0.9264122027725479
688.027072,0.9275134344715528
688.146674,0.9259713354987634
688.266276,0.926872744072359
688.385878,0.9262130455591193
688.50548,0.9272936398342764
688.625082,0.9278557500822188
688.744684,0.9287599218429659
688.864286,0.9269070389983419
688.983888,0.9248099703817549
689.10349,0.9238662212679014
689.223092,0.9272120415843466
689.342694,0.9252530604691719
689.462296,0.9251494379293699
689.581898,0.9267717204491426
689.7015,0.9270915118535429
689.821102,0.9237729154915744
689.940704,0.9267958168271258
690.060306,0.9247221176076416
690.179908,0.9233656214507795
690.29951,0.9251466624852193
690.419112,0.9234616564691448
690.538714,0.9231726582012583
690.658316,0.9234561157158282
690.777918,0.9253381876665261
690.89752,0.9236851612329959
691.017122,0.9218110604640786
691.136724,0.9204008475239707
691.256326,0.922453786737308
691.375928,0.9216340897302036
691.49553,0.9218525428951472
691.615132,0.9204643573735145
691.734734,0.9198101398173232
691.854336,0.9206190083758737
691.973938,0.920762636143855
692.09354,0.9215843228330765
692.213142,0.9220848790090775
692.332744,0.9244031435032638
692.452346,0.9227582467200656
692.571948,0.9206945022297662
692.69155,0.9192970289305562
692.811152,0.919093886735202
692.930754,0.9203621915001569
693.050356,0.9197687492923252
693.169958,0.9181164909065054
693.28956,0.9178447686420762
693.409162,0.92047632348794
693.528764,0.9180843573916635
693.648366,0.9196896525810934
693.767968,0.916152906266901
693.88757,0.9200263206004274
694.007172,0.9150935303215124
694.126774,0.915614366704164
694.246376,0.9138562459865887
694.365978,0.9137941058746493
694.48558,0.9125804801408716
694.605182,0.9128643368076191
694.724784,0.9147074423220143
694.844386,0.9127657527828771
694.963988,0.9166431792080716
695.08359,0.9132094647520045
695.203192,0.9142547741826723
695.322794,0.9125567533568374
695.442396,0.9102217753387808
695.561998,0.9115307042701384
695.6816,0.9120358321878179
695.801202,0.9075433004381268
695.920804,0.9083559152829183
696.040406,0.9115525812695638
696.160008,0.9077402587035208
696.27961,0.9075977546697638
696.399212,0.9061965988104165
696.518814,0.9075850483901425
696.638416,0.9049333358858276
696.758018,0.905120676475438
696.87762,0.9022442576113723
696.997222,0.9042313800112847
697.116824,0.9021630592821669
697.236426,0.9012703598126263
697.356028,0.8977712283361098
697.47563,0.8992447811336026
697.595232,0.8999194676952875
697.714834,0.895502737978753
697.834436,0.8934365140614446
697.954038,0.8945540079922212
698.07364,0.8946971480844019
