nu,[0]1-Nonene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
565.351307,0.9998542506224727
565.470309,0.9905983742563506
565.589312,0.9992754825895804
565.708314,1.0
565.827317,0.9958804088922589
565.946319,0.9999885960650253
566.065321,0.9966024846612718
566.184324,0.9922536587489859
566.303326,0.996193264060024
566.422328,1.0
566.541331,0.9972182761836789
566.660333,0.9888624864995005
566.779336,0.9973253831780837
566.898338,0.9959489278214149
567.01734,0.9997037139013979
567.136343,0.9974119547784966
567.255345,0.9946331532574515
567.374347,0.998205611842899
567.49335,0.9974461665952749
567.612352,0.9893441798132274
567.731355,0.9973895132619821
567.850357,0.9975223743935036
567.969359,1.0
568.088362,0.9980561916471868
568.207364,0.9932420384253975
568.326367,0.9956667158865903
568.445369,0.9946158467911516
568.564371,0.9990105098685336
568.683374,0.9941358615756569
568.802376,0.9984738657290968
568.921378,0.997970761693636
569.040381,0.9991071987843798
569.159383,0.9959441472780346
569.278386,1.0
569.397388,0.9986418231581362
569.51639,1.0
569.635393,0.9938780161771582
569.754395,0.9864654272527843
569.873397,0.9983816110061373
569.9924,0.9999676505232556
570.111402,0.995189806215843
570.230405,0.9944771075578107
570.349407,1.0
570.468409,1.0
570.587412,1.0
570.706414,0.999866008977599
570.825417,0.9980633776776363
570.944419,0.9992062252060245
571.063421,0.989591546777763
571.182424,0.9960575917769511
571.301426,0.9979003074449246
571.420428,0.9988731353893021
571.539431,0.9937025128169041
571.658433,0.9937640249062271
571.777436,0.9923492173773975
571.896438,1.0
572.01544,0.99939460332656
572.134443,0.9922315317391128
572.253445,0.9930354655657272
572.372447,1.0
572.49145,0.9972199714561895
572.610452,0.9995199952391636
572.729455,0.9978271640331278
572.848457,0.9993684195309621
572.967459,0.9995310200055125
573.086462,0.9960688472913317
573.205464,0.9970760829961104
573.324466,0.9958353961150734
573.443469,0.997051654931322
573.562471,0.9986020780045083
573.681474,0.99908918504398
573.800476,0.9930276206165368
573.919478,0.9965882333476382
574.038481,0.9930856151230039
574.157483,0.9928874150152541
574.276486,0.9925290473476895
574.395488,0.9995667038998804
574.51449,0.9976182408999946
574.633493,0.9794167867796731
574.752495,0.9975951961847973
574.871497,0.9924252342388572
574.9905,0.9975761422985154
575.109502,0.9997925315245613
575.228505,0.9999391228530887
575.347507,0.9998693385369526
575.466509,0.9960657594826913
575.585512,0.9970910392495269
575.704514,0.9946303682885214
575.823516,0.9991162407454436
575.942519,0.9979099871248532
576.061521,0.9994200282486723
576.180524,0.9974099599565819
576.299526,0.9992284877687262
576.418528,0.9965280412361641
576.537531,0.9973964950130111
576.656533,0.9896835830712346
576.775536,0.9986575019578381
576.894538,1.0
577.01354,0.9994887907120175
577.132543,1.0
577.251545,0.9988942118348145
577.370547,0.9989024028009345
577.48955,0.9976500654294779
577.608552,0.9970520537520637
577.727555,0.992655503603414
577.846557,0.9973362540840066
577.965559,0.9963038476496102
578.084562,1.0
578.203564,0.9949653167189281
578.322566,0.9965934156199255
578.441569,0.9965724873779448
578.560571,1.0
578.679574,0.990153200347454
578.798576,0.9991476734368111
578.917578,0.9932129368600117
579.036581,1.0
579.155583,0.999071930922744
579.274585,0.9983612442290146
579.393588,0.993914094603965
579.51259,0.9994847627803072
579.631593,0.9985632331392115
579.750595,0.9961104838393463
579.869597,0.9996429537561865
579.9886,0.9999661045744629
580.107602,0.9998838867416663
580.226605,0.9968712049129987
580.345607,0.9996233909350043
580.464609,0.9994266944024923
580.583612,0.9924402199730362
580.702614,1.0
580.821616,1.0
580.940619,0.9994557081805637
581.059621,0.9996386353079542
581.178624,0.9951895076589459
581.297626,0.9980295439026188
581.416628,0.9991454653228927
581.535631,1.0
581.654633,0.9988508607667459
581.773635,0.9954828332262524
581.892638,0.9986615964619898
582.01164,1.0
582.130643,0.9998564303071149
582.249645,0.9980454126985234
582.368647,0.9958003433260628
582.48765,1.0
582.606652,0.9998097281039937
582.725655,0.9981227642153401
582.844657,0.9940121987664631
582.963659,1.0
583.082662,1.0
583.201664,0.9987116306613188
583.320666,0.9954883083968918
583.439669,0.9987753504959961
583.558671,1.0
583.677674,1.0
583.796676,0.9982249772196122
583.915678,0.9946616996385886
584.034681,0.9998129674927606
584.153683,0.9999560519657431
584.272685,1.0
584.391688,0.9998166468112508
584.51069,0.9999520491496787
584.629693,1.0
584.748695,1.0
584.867697,0.9962876080292469
584.9867,0.9957015648314993
585.105702,1.0
585.224704,1.0
585.343707,0.9998902860190191
585.462709,0.9997054233962103
585.581712,1.0
585.700714,0.9982172909168799
585.819716,1.0
585.938719,0.9969607279667249
586.057721,1.0
586.176724,0.9938314043912544
