nu,[0]Bromochloromethane-PNNL(x-sec)-X=0.01-T=278.22K-P=1.0atm-L=15cm
604.890098,0.6331043629806683
605.0211,0.626378786888193
605.152103,0.6243026575973406
605.283106,0.6176644068538457
605.414108,0.6198238216207103
605.545111,0.6179115220363289
605.676114,0.6113962518393203
605.807116,0.6046533260381508
605.938119,0.601830159834051
606.069121,0.5988884052355886
606.200124,0.5931606535886945
606.331127,0.5941758260313975
606.462129,0.5857630047281838
606.593132,0.5870413609805346
606.724134,0.5895533869505755
606.855137,0.5870472314234966
606.98614,0.5804451324816917
607.117142,0.5751007707854392
607.248145,0.5708778586505748
607.379148,0.5665046444772629
607.51015,0.5626823610623614
607.641153,0.5573343220466646
607.772155,0.5582044421062435
607.903158,0.553457673720745
608.034161,0.5618951569283445
608.165163,0.5649432473776779
608.296166,0.5593890908074416
608.427169,0.5540391094785052
608.558171,0.5569554635341658
608.689174,0.551507412368964
608.820176,0.5570668657667246
608.951179,0.5717405353741478
609.082182,0.5751927942704473
609.213184,0.5739517186789921
609.344187,0.5782262794402051
609.47519,0.5767133094442356
609.606192,0.5755437689113346
609.737195,0.5758200962336639
609.868197,0.57698442840764
609.9992,0.5841076388722939
610.130203,0.5920584001864633
610.261205,0.5930005218309856
610.392208,0.5904324762560255
610.52321,0.592947154185601
610.654213,0.5972437245935649
610.785216,0.5956035606100548
610.916218,0.6043389880435727
611.047221,0.6099123626029577
611.178224,0.6133497200078596
611.309226,0.609101718358614
611.440229,0.6170655628654863
611.571231,0.6354956712128385
611.702234,0.6419146038176039
611.833237,0.6471675846593363
611.964239,0.6490470946270785
612.095242,0.6480483313464679
612.226245,0.6416899730189507
612.357247,0.6412409472152039
612.48825,0.6441330337920759
612.619252,0.647109342197667
612.750255,0.6368443511313977
612.881258,0.6284995292234046
613.01226,0.6667367424214767
613.143263,0.6916397855539723
613.274265,0.6935028012097558
613.405268,0.6723474724476376
613.536271,0.6572833992519338
613.667273,0.6237223260217851
613.798276,0.5817875105875148
613.929279,0.5791927240835376
614.060281,0.5857220027529386
614.191284,0.5559093708979088
614.322286,0.4983911841340025
614.453289,0.5692702508814962
614.584292,0.6429682074867258
614.715294,0.6487226521971318
614.846297,0.6123385274331351
614.9773,0.5915849428744899
615.108302,0.5521420107173005
615.239305,0.49411845652644915
615.370307,0.565191877101052
615.50131,0.6621123661911716
615.632313,0.6944188293529199
615.763315,0.692345618048614
615.894318,0.6828910151541142
616.025321,0.6685460494972157
616.156323,0.6592648028000461
616.287326,0.6410934787568673
616.418328,0.6288327222622487
616.549331,0.6137914908246749
616.680334,0.6019866560192303
616.811336,0.5819213371044093
616.942339,0.5721008453971734
617.073341,0.5602119974591327
617.204344,0.5437748480826954
617.335347,0.5335780077987681
617.466349,0.5200969720922516
617.597352,0.5123025041474653
617.728355,0.49941892818624783
617.859357,0.491934353124971
617.99036,0.48122516495502576
618.121362,0.47219180944600364
618.252365,0.4632307356011406
618.383368,0.4624901590434146
618.51437,0.45253960265148013
618.645373,0.4425729364416903
618.776376,0.44101340816289014
618.907378,0.4365859569284736
619.038381,0.4317968741685516
619.169383,0.4297893818249106
619.300386,0.4303269544650954
619.431389,0.4283519963607043
619.562391,0.42355157057060555
619.693394,0.42366594493450394
619.824396,0.42473917684107926
619.955399,0.4286605208535732
620.086402,0.4308996700859989
620.217404,0.4321078798665688
620.348407,0.43346683104614236
620.47941,0.43232831109048503
620.610412,0.44190073657961504
620.741415,0.44816670787170676
620.872417,0.4500304643291455
621.00342,0.45538593990257886
621.134423,0.46496646233806643
621.265425,0.4690152476891712
621.396428,0.4774002697680305
621.527431,0.48776575432526836
621.658433,0.4996187357163642
621.789436,0.5073724143338213
621.920438,0.5200813694171301
622.051441,0.5332952863824281
622.182444,0.5398737300542178
622.313446,0.5535074871529507
622.444449,0.5663177287873705
622.575452,0.5764480823288046
622.706454,0.5898659330630629
622.837457,0.6078725747405336
622.968459,0.6208473751258076
623.099462,0.633439997228267
623.230465,0.6464560917090759
623.361467,0.6650121285975805
623.49247,0.6764883855223832
623.623472,0.6918749830623714
623.754475,0.7098795295738767
623.885478,0.7255610945025484
624.01648,0.7395820867123316
624.147483,0.7546056379786861
624.278486,0.7689571751799026
624.409488,0.7832839539575412
624.540491,0.7989395445267385
624.671493,0.8132066660130867
624.802496,0.8271079999850139
624.933499,0.8402380789342747
625.064501,0.8525784931387259
625.195504,0.8641663448048826
625.326507,0.8770598894017285
625.457509,0.8863352623577047
625.588512,0.8966317825773308
625.719514,0.9067531743732983
625.850517,0.913949464077721
625.98152,0.9214663675890505
626.112522,0.9297570160844987
626.243525,0.9361083974204794
626.374527,0.9410857660806238
626.50553,0.9462504487406967
626.636533,0.9498387933473967
626.767535,0.9541627734720889
626.898538,0.9576920534737038
627.029541,0.9613737767519573
627.160543,0.9636828811056111
627.291546,0.9656536977354062
627.422548,0.967242538083398
627.553551,0.9690432833782024
627.684554,0.9693359786445432
627.815556,0.9715340129703464
627.946559,0.9734352197898312
628.077562,0.9739746523106062
628.208564,0.973524779949756
628.339567,0.9731879986424193
628.470569,0.9739444595643746
628.601572,0.9732833757396877
628.732575,0.9738285670694267
628.863577,0.9750144378915804
628.99458,0.9748175048660315
629.125583,0.9745962464062122
629.256585,0.9742327897951746
629.387588,0.9742396094485719
629.51859,0.9737662440354926
629.649593,0.9746332817672431
629.780596,0.975419152855852
629.911598,0.9748720961748464
630.042601,0.9746868880719001
630.173603,0.975020287995758
630.304606,0.975046613898932
630.435609,0.9743253463065699
630.566611,0.9752991836783064
