nu,[0]HCFC-124-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
580.281606,0.9127757932613803
580.401608,0.9153937302295514
580.52161,0.9182330991053145
580.641613,0.9181982069105044
580.761615,0.918790635791737
580.881618,0.922427958392878
581.00162,0.9220821127585899
581.121622,0.9235198363861504
581.241625,0.9265196728212117
581.361627,0.927721220752069
581.48163,0.9283383605401058
581.601632,0.9291445080544616
581.721634,0.9302182899509387
581.841637,0.9321355825853543
581.961639,0.9345108889382918
582.081642,0.935281243253167
582.201644,0.9377967855334425
582.321646,0.9375511149598832
582.441649,0.9394882188647028
582.561651,0.9414453295155102
582.681654,0.943823595002213
582.801656,0.9446620825879644
582.921658,0.9442672963535138
583.041661,0.9466829840225552
583.161663,0.9481069183661436
583.281666,0.9490953606640838
583.401668,0.9515690740290943
583.52167,0.9521782731594006
583.641673,0.9545989255127161
583.761675,0.9545025158900072
583.881678,0.9565339468847855
584.00168,0.9573042667241642
584.121682,0.9578941478171902
584.241685,0.9594232080843577
584.361687,0.9604138439152686
584.48169,0.9627090900471377
584.601692,0.9626619184574388
584.721694,0.9643904839988355
584.841697,0.9646412581238988
584.961699,0.9662448586752166
585.081702,0.9670036586793123
585.201704,0.9677998302700758
585.321706,0.9694687867707665
585.441709,0.9696074307200808
585.561711,0.9693301626461195
585.681714,0.9713756658318745
585.801716,0.9724836655307549
585.921718,0.973175347280671
586.041721,0.9733262011503724
586.161723,0.9742493518933786
586.281726,0.9757674396589168
586.401728,0.9751928818608397
586.52173,0.976992796546305
586.641733,0.9763589339320133
586.761735,0.9784916751002806
586.881738,0.9766997426676207
587.00174,0.977915513199983
587.121742,0.9779184469509232
587.241745,0.979426580996512
587.361747,0.9803937522524546
587.48175,0.9809478312350502
587.601752,0.9809144795757697
587.721754,0.9819665837249437
587.841757,0.9825510276970995
587.961759,0.9826198086763445
588.081762,0.9820215753933846
588.201764,0.9824743917057817
588.321766,0.9836009527548634
588.441769,0.9832528196407849
588.561771,0.9836609542430081
588.681774,0.9851178502924324
588.801776,0.9847317597738033
588.921778,0.9859131612624326
589.041781,0.9851907517106732
589.161783,0.985931893790455
589.281786,0.9855119762524863
589.401788,0.986545334188579
589.52179,0.98631155064882
589.641793,0.9864772649089372
589.761795,0.9870594582253733
589.881798,0.9872134515120206
590.0018,0.9870752513030492
590.121802,0.9877782991373054
590.241805,0.9877061939533397
590.361807,0.9877911403386619
590.48181,0.9880361429205303
590.601812,0.9882861476889588
590.721814,0.9896538930090956
590.841817,0.9881260583006238
590.961819,0.9886024498618678
591.081822,0.9895984739428354
591.201824,0.9890147830489547
591.321826,0.989674675959069
591.441829,0.9894253093622382
591.561831,0.9901380511193806
591.681834,0.9891166568180179
591.801836,0.9905781662556381
591.921838,0.9897835461611758
592.041841,0.9892897673796933
592.161843,0.9892066705293501
592.281846,0.9897944338400657
592.401848,0.9895747238644629
592.52185,0.9901932033448032
592.641853,0.9900837930408641
592.761855,0.9897479145948861
592.881858,0.9902094426464999
593.00186,0.9902551913795378
593.121862,0.9903486758820031
593.241865,0.9895212882721482
593.361867,0.990232811865102
593.48187,0.9897390069037394
593.601872,0.9915434594110252
593.721874,0.9900092425381098
593.841877,0.9903807636989215
593.961879,0.991090923121071
594.081882,0.9903945300872131
594.201884,0.9896044115514919
594.321886,0.9903727416472249
594.441889,0.9898597624285189
594.561891,0.9898666914711075
594.681894,0.9896083699770549
594.801896,0.9907971082225768
594.921898,0.9900399333003329
595.041901,0.9899142062126428
595.161903,0.990657118481693
595.281906,0.9898587725692514
595.401908,0.9892798745314839
595.52191,0.9897538531001892
595.641913,0.9890157720642323
595.761915,0.990190232769649
595.881918,0.9896410275921119
596.00192,0.9894381719748667
596.121922,0.9898449146434412
596.241925,0.9881329752072411
596.361927,0.9881487854613261
596.48193,0.9894520242062397
596.601932,0.989839965431241
596.721934,0.9908896529942584
596.841937,0.9903872011948074
596.961939,0.9898478841826394
597.081942,0.9895816509117746
597.201944,0.9896627999342138
597.321946,0.989818189191541
597.441949,0.9902221174084841
597.561951,0.9902618261115463
597.681954,0.9893689137268954
597.801956,0.9899448940286941
597.921958,0.9899934025169498
598.041961,0.9902912373245362
598.161963,0.9891463307628293
598.281966,0.9901659734061246
598.401968,0.9893916694736012
598.52197,0.9892531643354608
598.641973,0.9898478841826394
598.761975,0.9899122263862102
598.881978,0.9902143937060908
599.00198,0.9901321103088964
599.121982,0.9896291519710346
599.241985,0.9903120336588808
599.361987,0.9894371825371895
599.48199,0.9893036175333875
599.601992,0.9902748976539231
599.721994,0.9898518435820949
599.841997,0.9898538232877617
599.961999,0.9895559221233265
600.082002,0.9901700330949379
600.202004,0.9901003275782709
600.322006,0.990011222558575
600.442009,0.989655872318861
600.562011,0.9892116165750677
600.682014,0.9898429349555915
600.802016,0.9891216024136659
600.922018,0.988892152819088
601.042021,0.988019346448871
601.162023,0.9898538232877617
601.282026,0.9896806140249389
601.402028,0.9889613776926277
601.52203,0.9892056813231741
601.642033,0.9897696892885279
601.762035,0.9895470161601043
601.882038,0.9892590998722534
602.00204,0.9891750164223615
602.122042,0.9885362157165958
602.242045,0.9895994635418042
602.362047,0.9894856661469725
602.48205,0.9892422826105027
602.602052,0.9882209229556512
602.722054,0.9874207881064185
602.842057,0.9824321462152228
602.962059,0.9837750655320272
603.082062,0.9870278728280791
603.202064,0.9883207383094603
603.322066,0.9880727009341375
603.442069,0.9881991823344939
603.562071,0.9877881769696859
603.682074,0.9877298991864563
603.802076,0.9881270464271762
603.922078,0.9880351548848814
604.042081,0.9883246916003201
604.162083,0.9882396993315624
604.282086,0.9877634825739429
604.402088,0.9885975068619761
604.52209,0.9874790476515565
604.642093,0.9864309015670335
604.762095,0.9873457469781214
604.882098,0.9884185869059785
605.0021,0.9883810277133053
605.122102,0.9882683586984018
605.242105,0.9890256622714039
605.362107,0.9890434648935479
605.48211,0.988228828754658
605.602112,0.9889940139565869
605.722114,0.9890355525774781
605.842117,0.9899419241984667
605.962119,0.9905747982955984
606.082122,0.9900419133821796
606.202124,0.9913164219556009
606.322126,0.9904125554316908
606.442129,0.9910291800798763
606.562131,0.9907169559787236
606.682134,0.990046863604122
606.802136,0.9911119344713607
606.922138,0.9913391233615938
607.042141,0.9911663480102011
607.162143,0.9910941937265138
607.282146,0.9909174973847193
607.402148,0.9915676533665999
607.52215,0.9911877574345391
607.642153,0.9911857750610066
607.762155,0.9914852575182
607.882158,0.9912091673213257
608.00216,0.990874789760938
608.122162,0.991462255327052
608.242165,0.9912430672545336
608.362167,0.9918033770124506
608.48217,0.9905493408504117
608.602172,0.9910098551992829
608.722174,0.9908641874574099
608.842177,0.9907843270223197
608.962179,0.990804836470161
609.082182,0.9915553580039296
609.202184,0.9907137856895369
609.322186,0.9912595220260243
609.442189,0.9907214142150566
609.562191,0.990871618966684
609.682194,0.9903096569128521
609.802196,0.990467128666974
609.922198,0.9900260728382901
610.042201,0.9903270865161938
610.162203,0.9902758879293158
610.282206,0.9899795427063334
610.402208,0.9897489043432955
610.52221,0.9903083695111349
610.642213,0.9904339485739333
610.762215,0.9904243414112269
610.882218,0.9906061009538039
611.00222,0.9899686529912571
611.122222,0.9900751793493343
611.242225,0.9900997335182526
611.362227,0.9902642027427809
611.48223,0.990930577582014
611.602232,0.9900511208147885
611.722234,0.990929784837869
611.842237,0.9902706394810182
611.962239,0.9911987596797089
612.082242,0.9904943668875361
612.202244,0.9903756137323402
