nu,[0]Benzaldehyde-PNNL(x-sec)-X=0.01-T=278.22K-P=1.0atm-L=15cm
636.595014,0.8795806668696956
636.714216,0.8950461480227192
636.833418,0.8477665295706299
636.95262,0.8953147021482307
637.071822,0.8474613885486639
637.191024,0.8237485116213594
637.310226,0.8658531132419837
637.429428,0.9128050025541108
637.54863,0.8436985638639883
637.667832,0.9467161185068461
637.787034,0.8993257168059553
637.906236,0.8404733785367834
638.025438,0.8666153993383261
638.14464,0.8281425314324452
638.263842,0.7194919075805764
638.383044,0.8346940737557477
638.502246,0.8354707003197174
638.621448,0.8024465745207655
638.74065,0.8292695714887172
638.859852,0.7632878942936453
638.979054,0.7988516660102476
639.098256,0.7644795526606013
639.217458,0.7960128102407305
639.33666,0.8289213514000294
639.455862,0.7598532169096865
639.575064,0.7378608664505911
639.694266,0.8195416978749697
639.813468,0.7516608906668157
639.93267,0.7853467020812472
640.051872,0.7043358337451862
640.171074,0.7314254336095809
640.290276,0.7573877025856725
640.409478,0.7343055913666812
640.52868,0.7294240710403295
640.647882,0.7484656260184733
640.767084,0.7088155084948291
640.886286,0.6605978636398653
641.005488,0.7408700797722126
641.12469,0.7533163649803196
641.243892,0.6802941505548001
641.363094,0.7077813929404748
641.482296,0.6837588376940302
641.601498,0.7005776990089987
641.7207,0.7185499902721848
641.839902,0.7376542943294315
641.959104,0.7218918092514128
642.078306,0.6660769996730245
642.197508,0.6587112528892053
642.31671,0.6875642494929627
642.435912,0.6256400958331002
642.555114,0.6511794642719329
642.674316,0.6635772526237412
642.793518,0.6495600444203247
642.91272,0.6881833358645852
643.031922,0.6655443511610987
643.151124,0.621872618888267
643.270326,0.5926685345038878
643.389528,0.691695118950123
643.50873,0.6247523173689031
643.627932,0.6602148279700362
643.747134,0.6803145596854522
643.866336,0.6104859497675367
643.985538,0.6043148149675157
644.10474,0.633541355736288
644.223942,0.5840258695268394
644.343144,0.6343972141409717
644.462346,0.5963783487420177
644.581548,0.6020227763021891
644.70075,0.5980983940627613
644.819952,0.6134969416065467
644.939154,0.5714204503065221
645.058356,0.5907809342020025
645.177558,0.594877367334081
645.29676,0.5849493597658639
645.415962,0.6164734641779785
645.535164,0.5929649428670555
645.654366,0.5975005946182375
645.773568,0.5978412670395862
645.89277,0.6203695066499345
646.011972,0.6456033326128441
646.131174,0.6150080019250629
646.250376,0.5997154417587641
646.369578,0.6258215577716012
646.48878,0.6261721159910935
646.607982,0.6141905849852616
646.727184,0.6456162448086179
646.846386,0.6249835184959005
646.965588,0.6626754009583108
647.08479,0.6111211854205786
647.203992,0.6187772040031618
647.323194,0.5877227240734624
647.442396,0.6319089257786425
647.561598,0.5701533039597035
647.6808,0.5884284146720268
647.800002,0.6076720098858904
647.919204,0.5903616286098186
648.038406,0.5925974185467902
648.157608,0.5979010541555962
648.27681,0.5733149857234253
648.396012,0.5383857329398665
648.515214,0.57308570558822
648.634416,0.5831446559475443
648.753618,0.6205184131996018
648.87282,0.5800447634834683
648.992022,0.5459051698036161
649.111224,0.5690653504754648
649.230426,0.4592410699186333
649.349628,0.40871793758756897
649.46883,0.4677552920729548
649.588032,0.5535462340331764
649.707234,0.5483453444053888
649.826436,0.5737164467083834
649.945638,0.5586791175905352
650.06484,0.596515531537645
650.184042,0.5816537148471795
650.303244,0.6171581296422508
650.422446,0.59355226883888
650.541648,0.5691051864442407
650.66085,0.5725186314876832
650.780052,0.5833837942764902
650.899254,0.5672699422070453
