nu,[0]Dimethyldisulfide-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
672.718016,0.9977699901746753
672.837618,0.9957365145697892
672.95722,0.9958121934206564
673.076822,0.9966431468721494
673.196424,0.9934603770199759
673.316026,0.9946196263385505
673.435628,0.9968743949059584
673.55523,0.9951422372800125
673.674832,0.9961924671057314
673.794434,0.9963034491281508
673.914036,0.9945047544056902
674.033638,0.9941536567668456
674.15324,0.9942902628639093
674.272842,0.9933784199196486
674.392444,0.9952840551531084
674.512046,0.9943616554677468
674.631648,0.9927918045609054
674.75125,0.9929710196553043
674.870852,0.9934060362235873
674.990454,0.9936663427037377
675.110056,0.9920296331662805
675.229658,0.9908817259087428
675.34926,0.9937164247494669
675.468862,0.9925478063239561
675.588464,0.9903143113791776
675.708066,0.9911455337354436
675.827668,0.9917898885782447
675.94727,0.9913546875080088
676.066872,0.9915731070036908
676.186474,0.9914853566667308
676.306076,0.988785358233595
676.425678,0.9901232981723287
676.54528,0.9901686468578619
676.664882,0.9903259971569978
676.784484,0.9894757713397851
676.904086,0.9891740272478396
677.023688,0.9867998957218254
677.14329,0.9875442234194781
677.262892,0.9892729495965995
677.382494,0.9898983677120518
677.502096,0.9882476052807808
677.621698,0.9886093701032377
677.7413,0.9876864400270006
677.860902,0.9860945859746666
677.980504,0.9859565423959061
678.100106,0.9867426629876388
678.219708,0.9863865131752093
678.33931,0.9851533151734069
678.458912,0.984206053390181
678.578514,0.9859190767591467
678.698116,0.9856341873144708
678.817718,0.9839472412334298
678.93732,0.9846726776406987
679.056922,0.9835999691544024
679.176524,0.9842572334356269
679.296126,0.9831200894696215
679.415728,0.9841342089706366
679.53533,0.98055455001288
679.654932,0.9816308085741334
679.774534,0.9794520464186669
679.894136,0.9820304136273352
680.013738,0.9809958988564279
680.13334,0.980248664713864
680.252942,0.9820264855135369
680.372544,0.978391874039361
680.492146,0.9785631075998174
680.611748,0.9790740508865804
680.73135,0.97779425919425
680.850952,0.979283595153907
680.970554,0.9774863025083282
681.090156,0.9777923036076871
681.209758,0.9785386438279258
681.32936,0.9782461045102288
681.448962,0.9771452193112328
681.568564,0.9774032197036843
681.688166,0.9765005162419029
681.807768,0.9761656340004196
681.92737,0.9738207764720526
682.046972,0.9754669495653517
682.166574,0.9748564983460906
682.286176,0.9738207764720526
682.405778,0.973730215350998
682.52538,0.9731782668110922
682.644982,0.9714698938414448
682.764584,0.9732347127874847
682.884186,0.9716574056252613
683.003788,0.9710774992733727
683.12339,0.9717458304724428
683.242992,0.9722950219986561
683.362594,0.9709891352415633
683.482196,0.9716923859215054
683.601798,0.9710260335297655
683.7214,0.9684978655591833
683.841002,0.9703611084596341
683.960604,0.9692312960118136
684.080206,0.96764209175378
684.199808,0.9677601512904593
684.31941,0.9692603733868524
684.439012,0.9670181638429809
684.558614,0.9668518510221126
684.678216,0.9664255633591502
684.797818,0.9675279167234124
684.91742,0.9668518510221126
685.037022,0.9680689160240776
685.156624,0.9682422158699194
685.276226,0.9663018688036606
685.395828,0.9660902718651031
685.51543,0.9648149091784872
685.635032,0.9656421099605602
685.754634,0.9631058079105053
685.874236,0.9619863669370081
685.993838,0.963319641134471
686.11344,0.966191716669408
686.233042,0.9661617651904416
686.352644,0.9644126652350508
686.472246,0.9637744353280727
686.591848,0.966312498182679
686.71145,0.9664603553056824
686.831052,0.9661192550080041
686.950654,0.9658159411846939
687.070256,0.9651352809070987
687.189858,0.9636163892808091
687.30946,0.96552623985971
687.429062,0.965220216548932
687.548664,0.9623442924355239
687.668266,0.9664651876195397
687.787868,0.963487273335607
687.90747,0.9627100527567091
688.027072,0.9655194811996863
688.146674,0.9636549347072837
688.266276,0.9669572436176661
688.385878,0.9661289162488602
688.50548,0.9663936718417723
688.625082,0.9667464699137258
688.744684,0.9671187389618361
688.864286,0.964692385465442
688.983888,0.9652897149064343
689.10349,0.9669533757964273
689.223092,0.9669543427502865
689.342694,0.9681938049694085
689.462296,0.9670384714376506
689.581898,0.967597581241309
689.7015,0.9696626999187891
689.821102,0.9693039910850456
689.940704,0.9686354020209503
690.060306,0.9683216149869401
690.179908,0.9705668468221234
690.29951,0.9692526193348816
690.419112,0.9670597465180473
690.538714,0.9687167708121615
690.658316,0.9679140373881351
690.777918,0.9674166574105223
690.89752,0.9685743799128397
691.017122,0.9686392765703076
691.136724,0.9670800549859623
691.256326,0.9646017086430857
691.375928,0.964717467793533
691.49553,0.9639797411470912
691.615132,0.9641069948714837
691.734734,0.9609057017082034
691.854336,0.9610508094245183
691.973938,0.9606414889711501
692.09354,0.9584834339049962
692.213142,0.9587297958036578
692.332744,0.9561007351367159
692.452346,0.9558961514706297
692.571948,0.9541923529765465
692.69155,0.9528012014253867
692.811152,0.9524373008758724
692.930754,0.9518974219964018
693.050356,0.9487679792411974
693.169958,0.9495073574474472
693.28956,0.9491912241365348
693.409162,0.9492728580920202
693.528764,0.9481666509835583
693.648366,0.9486598258564239
693.767968,0.945354773734792
693.88757,0.9471734928390945
694.007172,0.9479277430911692
694.126774,0.949429501036293
694.246376,0.9504155205139458
694.365978,0.9525182614872241
694.48558,0.9551995571156998
694.605182,0.9575847979701351
694.724784,0.9597360310375641
694.844386,0.9619719372497271
694.963988,0.9667242350006203
695.08359,0.97178275751561
695.203192,0.9715777329846229
695.322794,0.9751177948998215
695.442396,0.9749764130699915
695.561998,0.9777395042488879
695.6816,0.9775977422987615
695.801202,0.977508784951833
