nu,[0]Acetylene-PNNL(x-sec)-X=0.01-T=278.22K-P=1.0atm-L=15cm
634.606692,1.000105965613959
634.727695,1.0003206313912598
634.848697,1.0000623479435522
634.969699,0.9997210489140911
635.090702,0.9987139277007109
635.211704,1.000040283811371
635.332707,1.0002265656621236
635.453709,0.9997695865492574
635.574711,0.9999845091199849
635.695714,1.0003364966022843
635.816716,0.9998655490393407
635.937719,0.9997820237602734
636.058721,0.9995701324195547
636.179724,1.0001496711996165
636.300726,1.0003790618257835
636.421728,0.9999854121064043
636.542731,0.9997967306620119
636.663733,0.9989710297533158
636.784736,1.0001235976375586
636.905738,0.9994093844820496
637.026741,1.0003057467310068
637.147743,0.999720329115195
637.268745,0.9997468020600102
637.389748,0.9964974482949022
637.51075,0.9963237739258254
637.631753,0.999576809570341
637.752755,1.0000701774623229
637.873757,1.0000009723704728
637.99476,0.9994493516624735
638.115762,1.000094393454782
638.236765,0.9992349727826556
638.357767,0.9999675335270474
638.47877,0.9989342682958358
638.599772,0.9992278782395345
638.720774,0.9999622067141842
638.841777,0.9997938012618827
638.962779,0.9999886270646723
639.083782,1.0002195741028652
639.204784,1.0006707648622026
639.325787,0.9997145007626659
639.446789,1.0003249727922208
639.567791,0.9998544405947983
639.688794,0.9990477137126523
639.809796,0.9978184829745633
639.930799,0.9994357792324349
640.051801,0.9993997402280229
640.172803,1.0002856107789941
640.293806,0.9993899361646603
640.414808,0.9992902220116516
640.535811,0.9998693885304207
640.656813,0.9995799582422503
640.777816,0.999470130430489
640.898818,0.9999320243104519
641.01982,1.0003182706373552
641.140823,0.9997088923800481
641.261825,1.0003001850465165
641.382828,0.9995343984260697
641.50383,0.999508670741771
641.624832,1.000433053740709
641.745835,0.9996260799255426
641.866837,0.9992312156662213
641.98784,0.9980484068392528
642.108842,0.9847603174089206
642.229845,0.9969986131942024
642.350847,0.9992809886126586
642.471849,0.9998671988188577
642.592852,0.998577213122335
642.713854,0.9981754664886184
642.834857,0.998706437374342
642.955859,0.9988111072935867
643.076862,0.9984037753239247
643.197864,0.9992501912471794
643.318866,1.0012728093351217
643.439869,1.0001464507228601
643.560871,0.998945456422294
643.681874,1.0003457497576738
643.802876,0.9996709441507554
643.923878,0.9993590854735138
644.044881,0.9996149541491881
644.165883,0.9991246633308543
644.286886,0.9993737161976217
644.407888,0.9964549984077938
644.528891,0.9954390329452038
644.649893,0.9988026174352567
644.770895,0.9996987853742372
644.891898,0.9980845368455294
645.0129,0.9991174796503502
645.133903,0.9991321667852513
645.254905,0.9992486823805299
645.375908,0.9990611709759905
645.49691,0.9994396870339715
645.617912,0.9987903322386164
645.738915,0.9997312761127335
645.859917,0.999945342493776
645.98092,0.9998462418220004
646.101922,1.0000281243954834
646.222924,0.9996348666774029
646.343927,0.9989479537890569
646.464929,0.9994838032753954
646.585932,0.9981772632060751
646.706934,0.993221776494486
646.827937,0.9661337469055181
646.948939,0.9948274240822113
647.069941,0.9938473058209357
647.190944,0.9984487045047131
647.311946,0.9997844032443215
647.432949,0.9983880006688945
647.553951,0.9963298515193829
647.674953,0.9993547682515898
647.795956,0.9983574504634947
647.916958,0.9984198497541061
648.037961,0.9985992819226045
648.158963,0.9995572380480154
648.279966,0.9988543567508765
648.400968,0.9997843132637293
648.52197,0.999681020884659
648.642973,0.9993829704410808
648.763975,0.9992246607309468
648.884978,0.9990433578741162
649.00598,0.9976093621371612
649.126983,0.986661753406612
649.247985,0.992086874927523
649.368987,0.9982496336810557
649.48999,0.9982237793503583
649.610992,0.9988156019536825
649.731995,0.9982015192082804
649.852997,0.998418052599994
649.973999,0.998789832843575
650.095002,0.9985869992269756
650.216004,0.9983295966791889
650.337007,0.9983989829973047
650.458009,0.9994579569584371
650.579012,0.9993474130275627
650.700014,0.999505472319142
650.821016,0.9997781346157654
650.942019,0.9990231574216473
651.063021,0.9985060171052077
651.184024,0.9971782885325617
651.305026,0.9930219603752309
651.426029,0.9648785890639061
651.547031,0.9456440965596895
651.668033,0.9905230916406828
651.789036,0.9957057467868536
651.910038,0.9960034077177783
652.031041,0.9913852217026082
652.152043,0.996887254668598
652.273045,0.9982744904063993
652.394048,0.9981679802006934
652.51505,0.9985399668869323
652.636053,0.998984515953249
652.757055,0.998331992673096
652.878058,0.9992324746983463
652.99906,0.9983407780332871
653.120062,0.9989746260554961
653.241065,0.9986422226149454
653.362067,0.9981034008215399
653.48307,0.9976394903948321
653.604072,0.9944306665612934
653.725075,0.9919136716802442
653.846077,0.9681734731129894
653.967079,0.9906950613759327
654.088082,0.9968329257936939
654.209084,0.9969654136931577
654.330087,0.9959423545801829
654.451089,0.9982446424453654
654.572091,0.9986259448793806
654.693094,0.9977878504173481
654.814096,0.9983020431625608
654.935099,0.998283075603933
655.056101,0.996996419799666
655.177104,0.9981833521059519
655.298106,0.9979705620995036
655.419108,0.9970995145593805
655.540111,0.9971931465997532
655.661113,0.9942270280140807
655.782116,0.9812333285917904
655.903118,0.98734772167159
656.02412,0.9829981901364422
656.145123,0.9135008250407557
656.266125,0.9289689163363793
656.387128,0.9838232716912795
656.50813,0.9818202816037475
656.629133,0.991205202492586
656.750135,0.99588459159876
656.871137,0.9970473676184235
656.99214,0.9949952656256901
657.113142,0.9974901549411576
657.234145,0.998246139813452
657.355147,0.9972703323363494
657.47615,0.9971147702986595
657.597152,0.9973277767618756
657.718154,0.995387570077527
657.839157,0.995120642927763
657.960159,0.9920332044793881
658.081162,0.9935016064811276
658.202164,0.9956299764626205
658.323166,0.9937712794100878
658.444169,0.9828664772039274
658.565171,0.9387003188193627
658.686174,0.9852380420017132
658.807176,0.990027062864858
658.928179,0.995570439570199
659.049181,0.9979915197013617
659.170183,0.9974562408524323
659.291186,0.9950669078639047
659.412188,0.9982230805939574
659.533191,0.9979382283771007
659.654193,0.9979351347733878
659.775196,0.9953858779200963
659.896198,0.9924775364268521
660.0172,0.9916165388569282
660.138203,0.9759196712532592
660.259205,0.9837298129198307
660.380208,0.9904274117314442
660.50121,0.9853582483752771
660.622212,0.9839787280489356
660.743215,0.9602640310413258
660.864217,0.7993870759687818
660.98522,0.8943482842295225
661.106222,0.9694842983954475
661.227225,0.9867722657115671
661.348227,0.9923016849882949
661.469229,0.9927598371794761
661.590232,0.9920814184647162
661.711234,0.9950014346154608
661.832237,0.9956782656874832
661.953239,0.9956205180227718
662.074241,0.9945632330045032
662.195244,0.9909406851254536
662.316246,0.9877615070489533
662.437249,0.9887586613893318
662.558251,0.9895480057076153
662.679254,0.9929093580695958
662.800256,0.9908739970614232
662.921258,0.9911305675508791
663.042261,0.9858076741978361
663.163263,0.9478282159034135
663.284266,0.8991368782341701
663.405268,0.9787010947258528
663.526271,0.9913098792888068
663.647273,0.9939219465563275
663.768275,0.9939864541839089
663.889278,0.9909128400834263
664.01028,0.9927838622582382
664.131283,0.9945497070365111
664.252285,0.9932177042935504
664.373287,0.9902132054495313
664.49429,0.9718362070371218
664.615292,0.9644956082907613
664.736295,0.9863628401829702
664.857297,0.9872114770870919
664.9783,0.9866518868384109
665.099302,0.9854193424805741
665.220304,0.9740379627205724
665.341307,0.959671730877564
665.462309,0.8785873020729453
665.583312,0.6547511756664338
665.704314,0.863501192835755
665.825317,0.9573253276497016
665.946319,0.9776319588185276
666.067321,0.9839649524431724
666.188324,0.9842070375967265
666.309326,0.9890493991721401
666.430329,0.9905274499518743
666.551331,0.9913550840499631
666.672333,0.9855464697752883
666.793336,0.983213490314591
666.914338,0.9886686884449764
667.035341,0.9866844468879145
667.156343,0.9867466099661848
667.277346,0.9804868940830855
667.398348,0.9880361429205303
667.51935,0.9866814868390138
667.640353,0.9758991771553517
667.761355,0.95917379047595
667.882358,0.8778934921952932
668.00336,0.8693495418599196
668.124362,0.9669553097051128
668.245365,0.9838744318315595
668.366367,0.9859535845307157
668.48737,0.983012935219882
668.608372,0.9883316098973753
668.729375,0.986162628848551
668.850377,0.9659878717235888
668.971379,0.9525134989078231
669.092382,0.9813687481348696
669.213384,0.9860600732681333
669.334387,0.9792786987481723
669.455389,0.9790485952921815
669.576392,0.9812166477669917
669.697394,0.9752406674827891
669.818396,0.9591469339858092
669.939399,0.9093492910793006
670.060401,0.914106676905458
670.181404,0.7947561030606592
670.302406,0.4899166521493986
670.423408,0.8074614217089681
670.544411,0.9310018635892854
670.665413,0.9578778637550922
670.786416,0.9672183573222066
670.907418,0.9797733593823377
671.028421,0.976857980842879
671.149423,0.9710619621576816
671.270425,0.9830188333151876
671.391428,0.9880549157855875
671.51243,0.9881448328740894
671.633433,0.9829372461379371
671.754435,0.9718206577822036
671.875438,0.9747638913776483
671.99644,0.9655069295280168
672.117442,0.9659125276080531
672.238445,0.9658507111844328
672.359447,0.9645544443173476
672.48045,0.9401789965352644
672.601452,0.7779056769555376
672.722454,0.8324018183487023
672.843457,0.9477116402024099
