nu,[0]Acetonitrile-HITRAN(x-sec)-X=0.01-T=203.2K-P=0.1321atm-L=15cm
887.265345,0.9996460726470677
887.281746,0.9988055139670472
887.298146,0.998930272566754
887.314546,0.9990258148267804
887.330947,0.9976841856451679
887.347347,0.9980055914809953
887.363747,0.9978806490025043
887.380148,0.9991492321083973
887.396548,0.9997044736765092
887.412948,0.9998903860080527
887.429349,0.9999636206617442
887.445749,0.9993729866550752
887.462149,0.9992700365530408
887.47855,0.9997721159695111
887.49495,0.9999299774516931
887.51135,0.999366430789786
887.527751,0.9993428859940354
887.544151,0.9998737779666712
887.560551,0.999548431987539
887.576952,0.9989046003886379
887.593352,0.9992629717388566
887.609752,0.9977799679244658
887.626153,0.9975268632542883
887.642553,0.9976935639205908
887.658953,0.9973501171542866
887.675354,0.9971288297160393
887.691754,0.9979631771446684
887.708154,0.9975434223376582
887.724554,0.9980450134804382
887.740955,0.9976189392330077
887.757355,0.9986558042415278
887.773755,0.998760668606256
887.790156,0.9981090900271388
887.806556,0.998548654222434
887.822956,0.997694860923067
887.839357,0.9978572988685153
887.855757,0.997703840217222
887.872157,0.9978886320796285
887.888558,0.9980509019633887
887.904958,0.9985938895010417
887.921358,0.9989883121016223
887.937759,0.998376519272905
887.954159,0.9992356822397381
887.970559,0.9995979008635353
887.98696,0.9995548391135228
888.00336,0.9987490830496965
888.01976,0.9991058899548066
888.036161,0.9994696007114603
888.052561,0.9999492762864911
888.068961,0.9991504310881953
888.085362,0.9998646791566914
888.101762,0.9999140396947988
888.118162,0.9997984103219303
888.134563,0.9995921132084445
888.150963,0.9997822737058105
888.167363,0.9996245105138292
888.183764,0.9998576801284339
888.200164,0.9989998005332699
888.216564,0.9994380379598483
888.232965,0.9998188764048592
888.249365,0.99997339835383
888.265765,0.9999839781283516
888.282166,0.9996611174336728
888.298566,0.9999646856235672
888.314966,0.9991202871744126
888.331367,0.9997346052234259
888.347767,0.9992585949766254
888.364167,0.999797050597017
888.380568,0.9995930128417513
888.396968,0.9998814570267736
888.413368,0.9997580892651217
888.429769,0.9989772233929004
888.446169,0.9996580484787531
888.462569,0.9997860128985065
888.47897,0.9990493321712595
888.49537,0.9991824044135607
