nu,[0]Myrcene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
586.379328,0.9982281715446503
586.49893,0.9916995406348066
586.618532,0.992695508426301
586.738135,0.9929233581902452
586.857737,0.9988950109505036
586.97734,0.9979755519647887
587.096942,0.9946129624093782
587.216544,0.99240201176008
587.336147,0.9949683016193556
587.455749,0.9958797117762167
587.575352,0.9926719818215427
587.694954,1.00056084721602
587.814556,0.9965432882318342
587.934159,0.996564714142859
588.053761,0.9913358519478845
588.173363,0.9898350162437868
588.292966,0.9931941653128966
588.412568,0.9968458847059619
588.532171,0.9995663040732788
588.651773,0.9955933379536395
588.771375,0.9958433628301091
588.890978,0.9915156965828431
589.01058,0.9936489536948946
589.130183,0.9940440076657633
589.249785,0.9983653375185071
589.369387,1.0005073886781106
589.48899,0.999814247254178
589.608592,0.9971111806919476
589.728195,0.9947532127244928
589.847797,0.993471603185664
589.967399,0.9944919253771058
590.087002,0.9962098010054635
590.206604,1.002027953521914
590.326207,1.0019948871450461
590.445809,1.0001533317541118
590.565411,0.9900526058925836
590.685014,0.9938222611843929
590.804616,0.9929056843117674
590.924218,0.9983271008583169
591.043821,0.9975941985900999
591.163423,1.0029453289833064
591.283026,1.0001049255042957
591.402628,0.9966052751521355
591.52223,0.9923639042544973
591.641833,0.9943990441688955
591.761435,0.995448390116092
591.881038,0.9988211953367149
592.00064,0.9981166756850485
592.120242,0.9990399811132734
592.239845,0.9952842542099393
592.359447,0.9946576215339802
592.47905,0.9950421310063721
592.598652,0.9960779115590844
592.718254,0.9967046416514058
592.837857,0.9987848389068957
592.957459,0.9989859145325504
593.077062,0.9959995233120628
593.196664,0.9959555011060303
593.316266,0.9943888019114883
593.435869,0.9914498621263181
593.555471,0.9995051724675453
593.675074,0.9993448646949086
593.794676,0.9997638978764942
593.914278,1.001146757023586
594.033881,0.9950178522745773
594.153483,0.9979658716488843
594.273085,0.9970251337100347
594.392688,0.9962100998684487
594.51229,1.001346005052755
594.631893,1.0038210817893733
594.751495,1.0002464303589735
594.871097,0.9985296819782407
594.9907,0.993534094514836
595.110302,0.9958372882041235
595.229905,0.9973727572589102
595.349507,0.9972849923179854
595.469109,1.0020911834806656
595.588712,1.0002875213263354
595.708314,0.9958393794646245
595.827917,0.9929289185766201
595.947519,0.9942785303080297
596.067121,0.9990228177538315
596.186724,1.001047948714938
596.306326,1.003105612453186
596.425929,0.999784783162467
596.545531,0.9977178081687605
596.665133,0.9951935879442919
596.784736,0.9969953231042075
596.904338,0.9994359991083306
597.02394,1.0041765977748254
597.143543,1.0026440894549222
597.263145,1.0003697683474675
597.382748,0.9976761044359932
597.50235,0.9918789553092754
597.621952,0.9924534195157386
597.741555,0.9980573893153354
597.861157,1.0018103366844533
597.98076,1.0017722686149573
598.100362,1.0008927782894985
598.219964,0.9982215832604595
598.339567,0.9950603404439854
598.459169,0.9945829255514723
598.578772,0.9975176860493615
598.698374,1.0010073069932526
598.817976,1.003076924042916
598.937579,1.0036056848981343
599.057181,0.9983863034107361
599.176784,0.995364975036141
599.296386,0.9922702295234526
599.415988,0.9954793490424334
599.535591,0.9999539640596864
599.655193,1.0036561675337123
599.774795,1.0017238841828766
599.894398,0.9986962506206333
600.014,0.9949614363617595
600.133603,0.9975680619644882
600.253205,0.9961321992845915
600.372807,0.9981950309194925
600.49241,1.0023059546331927
600.612012,0.9989841163595226
600.731615,1.0007894414449965
600.851217,0.9995721015746553
